epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.042647,61.3299,0.039908,69.6414,0.7152,0.6964,0.7028,9.938441702975689e-05
2,0.035399,71.9819,0.030778,77.3978,0.7857,0.774,0.7778,9.755282581475769e-05
3,0.031838,76.0168,0.029606,77.8148,0.8033,0.7781,0.784,9.45503262094184e-05
4,0.029035,78.6314,0.027715,80.6505,0.8204,0.8065,0.8103,9.045084971874738e-05
5,0.026648,80.6649,0.026149,81.4012,0.8209,0.814,0.8164,8.535533905932738e-05
6,0.026325,81.4074,0.026663,81.151,0.8272,0.8115,0.8155,7.938926261462366e-05
7,0.024239,83.4732,0.029171,78.1485,0.8108,0.7815,0.7876,7.269952498697734e-05
8,0.02294,84.5707,0.025136,82.2352,0.8256,0.8224,0.8236,6.545084971874738e-05
9,0.021023,86.0878,0.023939,83.5696,0.8387,0.8357,0.8369,5.782172325201156e-05
10,0.01971,87.1207,0.029814,78.0651,0.8116,0.7807,0.7869,5.000000000000001e-05
11,0.018582,87.2176,0.024274,83.4028,0.845,0.834,0.837,4.217827674798848e-05
12,0.01755,89.3157,0.023636,85.4045,0.8548,0.854,0.8544,3.454915028125264e-05
13,0.016452,89.9935,0.023361,85.2377,0.8541,0.8524,0.8531,2.730047501302267e-05
14,0.01399,91.1556,0.023864,84.5705,0.8475,0.8457,0.8465,2.0610737385376356e-05
15,0.012925,92.0917,0.025238,85.4045,0.8539,0.854,0.854,1.464466094067263e-05
16,0.012288,92.479,0.024694,85.6547,0.8567,0.8565,0.8566,9.549150281252635e-06
17,0.010917,93.3505,0.025389,84.9875,0.852,0.8499,0.8507,5.4496737905816115e-06
18,0.010132,94.093,0.024235,85.5713,0.856,0.8557,0.8559,2.4471741852423237e-06
19,0.009701,94.1575,0.024842,85.7381,0.8593,0.8574,0.8582,6.155829702431171e-07
20,0.009749,94.3835,0.025847,84.9875,0.8532,0.8499,0.8511,0.0
