epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.042026,59.6514,0.03723,70.392,0.7265,0.7039,0.7109,9.938441702975689e-05
2,0.034621,72.2402,0.034684,72.9775,0.7882,0.7298,0.7385,9.755282581475769e-05
3,0.030794,77.7921,0.026409,81.6514,0.8163,0.8165,0.8164,9.45503262094184e-05
4,0.028824,78.244,0.02801,79.8999,0.8092,0.799,0.8022,9.045084971874738e-05
5,0.026088,81.0523,0.024786,82.6522,0.833,0.8265,0.8287,8.535533905932738e-05
6,0.025352,81.601,0.023016,84.3203,0.8432,0.8432,0.8432,7.938926261462366e-05
7,0.023175,83.9251,0.029788,80.4837,0.8322,0.8048,0.8102,7.269952498697734e-05
8,0.02138,85.6359,0.023939,82.402,0.8339,0.824,0.8269,6.545084971874738e-05
9,0.020183,86.2815,0.023525,83.9867,0.8483,0.8399,0.8423,5.782172325201156e-05
10,0.019821,86.2169,0.023214,83.1526,0.8368,0.8315,0.8334,5.000000000000001e-05
11,0.018627,87.734,0.024044,84.2369,0.8483,0.8424,0.8443,4.217827674798848e-05
12,0.017253,88.315,0.023271,85.0709,0.8512,0.8507,0.851,3.454915028125264e-05
13,0.016374,89.1543,0.024801,84.8207,0.8545,0.8482,0.8502,2.730047501302267e-05
