epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,lr
1,0.041864,59.0704,0.038669,66.6667,0.7309,0.6667,0.6775,9.938441702975689e-05
2,0.036296,71.3363,0.046119,57.75,0.7682,0.5775,0.5733,9.755282581475769e-05
3,0.032053,76.4687,0.033745,71.3333,0.797,0.7133,0.7221,9.45503262094184e-05
4,0.028803,79.3415,0.027665,78.75,0.8114,0.7875,0.793,9.045084971874738e-05
5,0.027327,80.0839,0.02498,83.25,0.8339,0.8325,0.8331,8.535533905932738e-05
6,0.026517,80.8586,0.026176,81.75,0.8343,0.8175,0.8216,7.938926261462366e-05
7,0.024264,83.0859,0.039571,76.9167,0.8065,0.7692,0.7762,7.269952498697734e-05
8,0.023633,83.1504,0.028842,82.0833,0.8413,0.8208,0.8252,6.545084971874738e-05
9,0.021293,85.4745,0.023387,84.9167,0.8593,0.8492,0.8518,5.782172325201156e-05
10,0.020595,85.9587,0.024415,83.6667,0.8553,0.8367,0.8406,5.000000000000001e-05
11,0.018533,88.0568,0.027316,81.0833,0.8409,0.8108,0.8162,4.217827674798848e-05
12,0.017148,89.2834,0.024036,84.25,0.8565,0.8425,0.8458,3.454915028125264e-05
13,0.015401,89.3802,0.022466,87.3333,0.8718,0.8733,0.8719,2.730047501302267e-05
14,0.014988,90.7037,0.023091,86.5833,0.8659,0.8658,0.8659,2.0610737385376356e-05
15,0.012137,91.7689,0.024064,87.3333,0.8718,0.8733,0.8719,1.464466094067263e-05
16,0.011396,92.705,0.024588,86.75,0.8688,0.8675,0.8681,9.549150281252635e-06
17,0.010463,93.6088,0.025105,85.9167,0.8622,0.8592,0.8603,5.4496737905816115e-06
18,0.010517,93.1892,0.023799,87.25,0.8714,0.8725,0.8718,2.4471741852423237e-06
19,0.009331,94.0607,0.023369,86.6667,0.8677,0.8667,0.8671,6.155829702431171e-07
20,0.00863,94.6094,0.023773,86.25,0.8646,0.8625,0.8633,0.0
